site_spp,A(Const0.01),A(Const0.1),A(Const0.2),A(Const0.3),A(Const0.4),A(Const0.5),E(Const0.01),E(Const0.1),E(Const0.2),E(Const0.3),E(Const0.4),E(Const0.5),gs(Const0.01),gs(Const0.1),gs(Const0.2),gs(Const0.3),gs(Const0.4),gs(Const0.5),gb(Const0.01),gb(Const0.1),gb(Const0.2),gb(Const0.3),gb(Const0.4),gb(Const0.5),Ci(Const0.01),Ci(Const0.1),Ci(Const0.2),Ci(Const0.3),Ci(Const0.4),Ci(Const0.5),Tleaf(Const0.01),Tleaf(Const0.1),Tleaf(Const0.2),Tleaf(Const0.3),Tleaf(Const0.4),Tleaf(Const0.5),Pleaf(Const0.01),Pleaf(Const0.1),Pleaf(Const0.2),Pleaf(Const0.3),Pleaf(Const0.4),Pleaf(Const0.5),Rublim(Const0.01),Rublim(Const0.1),Rublim(Const0.2),Rublim(Const0.3),Rublim(Const0.4),Rublim(Const0.5),Ps,Tair,VPD,Psie,doy,hod,A,E,Ci,gs,gb,Tleaf
drought_only,1.8274541876458417,12.915158657341244,17.337994196781143,19.016017758777767,19.824356408522135,20.288207035650057,0.1745736916567963,1.666344297032906,3.1732637479862267,4.5437784946833455,5.7965989391046735,6.947094401644358,0.01,0.1,0.2,0.3,0.4,0.5,4.64,4.64,4.64,4.64,4.64,4.64,11.967132455524654,20.131176454086923,26.734343481377806,30.382309809731574,32.55240079350795,33.96437842559365,25.524109253108453,25.246463409761702,24.978725823138124,24.74638812973249,24.543338705673808,24.36474109823493,-1.4396785564770034,-1.9158212342010457,-2.391963911925088,-2.8681065896491305,-3.304570710896169,-3.741034832143208,True,True,False,False,False,False,-1.4,24.1,1.5,-0.0013333210000000002,1,12,10.9,3.0,23.811375,0.183,2.84,20.32
drought_only,1.8301731833882,12.933938372926976,17.35768444428276,19.031584708868,19.83606360554204,20.296713247821472,0.17441942962724885,1.6650982644156844,3.17132374596891,4.541560573765598,5.794418173042242,6.945190048122202,0.01,0.1,0.2,0.3,0.4,0.5,4.64,4.64,4.64,4.64,4.64,4.64,11.923942614225677,20.100970503607247,26.718353795910488,30.373810715028448,32.54756057430011,33.96152839484444,25.42322374133304,25.145887039342533,24.878321020155486,24.646025395811392,24.44292652627111,24.264215073378164,-1.937165993662933,-2.4203239112810637,-2.940647822562129,-3.42380574018026,-3.9441296514613233,-4.427287569079455,True,True,False,False,False,False,-1.9,24.0,1.5,-0.0013333210000000002,2,12,13.3,3.21,21.27825,0.184,2.84,21.04
drought_only,1.8301731833882,12.933938372926976,17.35768444428276,19.031584708868,19.83606360554204,20.296713247821472,0.17441942962724885,1.6650982644156844,3.17132374596891,4.541560573765598,5.794418173042242,6.945190048122202,0.01,0.1,0.2,0.3,0.4,0.5,4.64,4.64,4.64,4.64,4.64,4.64,11.923942614225677,20.100970503607247,26.718353795910488,30.373810715028448,32.54756057430011,33.96152839484444,25.42322374133304,25.145887039342533,24.878321020155486,24.646025395811392,24.44292652627111,24.264215073378164,-2.370311886823353,-2.86249509458683,-3.389834245761984,-3.917173396937137,-4.479668491523967,-5.077319529522474,True,True,False,False,False,False,-2.3,24.0,1.5,-0.0013333210000000002,3,12,12.2,2.61,10.74045,0.086,2.84,29.04
drought_only,1.8301731833882,12.933938372926976,17.35768444428276,19.031584708868,19.83606360554204,20.296713247821472,0.17441942962724885,1.6650982644156844,3.17132374596891,4.541560573765598,5.794418173042242,6.945190048122202,0.01,0.1,0.2,0.3,0.4,0.5,4.64,4.64,4.64,4.64,4.64,4.64,11.923942614225677,20.100970503607247,26.718353795910488,30.373810715028448,32.54756057430011,33.96152839484444,25.42322374133304,25.145887039342533,24.878321020155486,24.646025395811392,24.44292652627111,24.264215073378164,-2.667296811446469,-3.172022897294989,-3.744045794589979,-4.316068691884968,-4.955388400626427,-5.628356515091123,True,True,False,False,False,False,-2.6,24.0,1.5,-0.0013333210000000002,4,12,6.59,2.38,20.366325,0.0807,2.84,29.29
drought_only,1.8301731833882,12.933938372926976,17.35768444428276,19.031584708868,19.83606360554204,20.296713247821472,0.17441942962724885,1.6650982644156844,3.17132374596891,4.541560573765598,5.794418173042242,6.945190048122202,0.01,0.1,0.2,0.3,0.4,0.5,4.64,4.64,4.64,4.64,4.64,4.64,11.923942614225677,20.100970503607247,26.718353795910488,30.373810715028448,32.54756057430011,33.96152839484444,25.42322374133304,25.145887039342533,24.878321020155486,24.646025395811392,24.44292652627111,24.264215073378164,-2.8652867611952124,-3.3875808507569176,-3.9751617015138354,-4.595385932868361,-5.280896925418097,-6.064338059760653,True,True,False,False,False,False,-2.8,24.0,1.5,-0.0013333210000000002,5,12,3.25,1.9,25.432575,0.0618,2.84,29.72
drought_only,1.8301731833882,12.933938372926976,17.35768444428276,19.031584708868,19.83606360554204,20.296713247821472,0.17441942962724885,1.6650982644156844,3.17132374596891,4.541560573765598,5.794418173042242,6.945190048122202,0.01,0.1,0.2,0.3,0.4,0.5,4.64,4.64,4.64,4.64,4.64,4.64,11.923942614225677,20.100970503607247,26.718353795910488,30.373810715028448,32.54756057430011,33.96152839484444,25.42322374133304,25.145887039342533,24.878321020155486,24.646025395811392,24.44292652627111,24.264215073378164,-3.0632767109439567,-3.60112875396759,-4.233895863407159,-4.898301328318705,-5.657621859646187,-6.606772523805537,True,True,False,False,False,False,-3.0,24.0,1.5,-0.0013333210000000002,6,12,8.86,1.69,20.6703,0.106,2.84,23.28
drought_only,1.8301731833882,12.933938372926976,17.35768444428276,19.031584708868,19.83606360554204,20.296713247821472,0.17441942962724885,1.6650982644156844,3.17132374596891,4.541560573765598,5.794418173042242,6.945190048122202,0.01,0.1,0.2,0.3,0.4,0.5,4.64,4.64,4.64,4.64,4.64,4.64,11.923942614225677,20.100970503607247,26.718353795910488,30.373810715028448,32.54756057430011,33.96152839484444,25.42322374133304,25.145887039342533,24.878321020155486,24.646025395811392,24.44292652627111,24.264215073378164,-3.5582515853158165,-4.169893231131885,-4.898038047579586,-5.742686034658918,-6.849466155659425,-9.2960327389237,True,True,False,False,False,False,-3.5,24.0,1.5,-0.0013333210000000002,7,12,15.4,2.77,21.379575,0.214,2.84,22.34
drought_only,1.8301731833882,12.933938372926976,17.35768444428276,19.031584708868,19.83606360554204,20.296713247821472,0.17441942962724885,1.6650982644156844,3.17132374596891,4.541560573765598,5.794418173042242,6.945190048122202,0.01,0.1,0.2,0.3,0.4,0.5,4.64,4.64,4.64,4.64,4.64,4.64,11.923942614225677,20.100970503607247,26.718353795910488,30.373810715028448,32.54756057430011,33.96152839484444,25.42322374133304,25.145887039342533,24.878321020155486,24.646025395811392,24.44292652627111,24.264215073378164,-4.079839689531513,-4.771783665471292,-5.6500202503179375,-6.847615593290634,-9.2960327389237,-9.2960327389237,True,True,False,False,False,False,-4.0,24.0,1.5,-0.0013333210000000002,8,12,10.6,2.89,19.150425,0.121,2.84,26.46
drought_only,1.8301731833882,12.933938372926976,17.35768444428276,19.031584708868,19.83606360554204,20.296713247821472,0.17441942962724885,1.6650982644156844,3.17132374596891,4.541560573765598,5.794418173042242,6.945190048122202,0.01,0.1,0.2,0.3,0.4,0.5,4.64,4.64,4.64,4.64,4.64,4.64,11.923942614225677,20.100970503607247,26.718353795910488,30.373810715028448,32.54756057430011,33.96152839484444,25.42322374133304,25.145887039342533,24.878321020155486,24.646025395811392,24.44292652627111,24.264215073378164,-4.572302001089302,-5.391724680101391,-6.572657364559992,-9.2960327389237,-9.2960327389237,-9.2960327389237,True,True,False,False,False,False,-4.5,24.0,1.5,-0.0013333210000000002,9,12,10.6,2.89,19.150425,0.121,2.84,26.46
drought_only,1.8301731833882,12.933938372926976,17.35768444428276,19.031584708868,19.83606360554204,20.296713247821472,0.17441942962724885,1.6650982644156844,3.17132374596891,4.541560573765598,5.794418173042242,6.945190048122202,0.01,0.1,0.2,0.3,0.4,0.5,4.64,4.64,4.64,4.64,4.64,4.64,11.923942614225677,20.100970503607247,26.718353795910488,30.373810715028448,32.54756057430011,33.96152839484444,25.42322374133304,25.145887039342533,24.878321020155486,24.646025395811392,24.44292652627111,24.264215073378164,-5.0863524168627885,-6.1009933150005455,-8.000746485981884,-9.2960327389237,-9.2960327389237,-9.2960327389237,True,True,False,False,False,False,-5.0,24.0,1.5,-0.0013333210000000002,10,12,10.9,3.0,23.811375,0.183,2.84,20.32
drought_only,1.8301731833882,12.933938372926976,17.35768444428276,19.031584708868,19.83606360554204,20.296713247821472,0.17441942962724885,1.6650982644156844,3.17132374596891,4.541560573765598,5.794418173042242,6.945190048122202,0.01,0.1,0.2,0.3,0.4,0.5,4.64,4.64,4.64,4.64,4.64,4.64,11.923942614225677,20.100970503607247,26.718353795910488,30.373810715028448,32.54756057430011,33.96152839484444,25.42322374133304,25.145887039342533,24.878321020155486,24.646025395811392,24.44292652627111,24.264215073378164,-6.1490668072880075,-8.086935302032092,-9.2960327389237,-9.2960327389237,-9.2960327389237,-9.2960327389237,True,True,False,False,False,False,-6.0,24.0,1.5,-0.0013333210000000002,11,12,13.3,3.21,21.27825,0.184,2.84,21.04
drought_only,1.8301731833882,12.933938372926976,17.35768444428276,19.031584708868,19.83606360554204,20.296713247821472,0.17441942962724885,1.6650982644156844,3.17132374596891,4.541560573765598,5.794418173042242,6.945190048122202,0.01,0.1,0.2,0.3,0.4,0.5,4.64,4.64,4.64,4.64,4.64,4.64,11.923942614225677,20.100970503607247,26.718353795910488,30.373810715028448,32.54756057430011,33.96152839484444,25.42322374133304,25.145887039342533,24.878321020155486,24.646025395811392,24.44292652627111,24.264215073378164,-6.355579534619283,-8.860410041989713,-9.2960327389237,-9.2960327389237,-9.2960327389237,-9.2960327389237,True,True,False,False,False,False,-6.2,24.0,1.5,-0.0013333210000000002,12,12,12.2,2.61,10.74045,0.086,2.84,29.04
drought_only,1.8301731833882,12.933938372926976,17.35768444428276,19.031584708868,19.83606360554204,20.296713247821472,0.17441942962724885,1.6650982644156844,3.17132374596891,4.541560573765598,5.794418173042242,6.945190048122202,0.01,0.1,0.2,0.3,0.4,0.5,4.64,4.64,4.64,4.64,4.64,4.64,11.923942614225677,20.100970503607247,26.718353795910488,30.373810715028448,32.54756057430011,33.96152839484444,25.42322374133304,25.145887039342533,24.878321020155486,24.646025395811392,24.44292652627111,24.264215073378164,-3.0632767109439567,-3.60112875396759,-4.233895863407159,-4.898301328318705,-5.657621859646187,-6.606772523805537,True,True,False,False,False,False,-3.0,24.0,1.5,-0.0013333210000000002,13,12,6.59,2.38,20.366325,0.0807,2.84,29.29
drought_only,1.8301731833882,12.933938372926976,17.35768444428276,19.031584708868,19.83606360554204,20.296713247821472,0.17441942962724885,1.6650982644156844,3.17132374596891,4.541560573765598,5.794418173042242,6.945190048122202,0.01,0.1,0.2,0.3,0.4,0.5,4.64,4.64,4.64,4.64,4.64,4.64,11.923942614225677,20.100970503607247,26.718353795910488,30.373810715028448,32.54756057430011,33.96152839484444,25.42322374133304,25.145887039342533,24.878321020155486,24.646025395811392,24.44292652627111,24.264215073378164,-1.5391760439141895,-2.009288570884463,-2.518577141768926,-2.9886896687391986,-3.419626151795283,-3.889738678765557,True,True,False,False,False,False,-1.5,24.0,1.5,-0.0013333210000000002,14,12,3.25,1.9,25.432575,0.0618,2.84,29.72
HW_and_drought_varD_RH60,1.8290716612948257,12.918381435966856,17.332831382273366,19.005547361444265,19.811776284000164,20.27554156856137,0.14492060572255586,1.3834194256620067,2.6345398936810067,3.772224988721225,4.811863704808132,5.766138596000688,0.01,0.1,0.2,0.3,0.4,0.5,4.64,4.64,4.64,4.64,4.64,4.64,11.941409450060306,20.125639138544923,26.73805854612464,30.387573188965053,32.557188675742346,33.968242781204985,25.463959842204105,25.22641772725565,24.99694643337069,24.797486225929926,24.622915701109854,24.46916983353005,-1.4396785564770034,-1.8364641212470387,-2.233249686017074,-2.5903566943101057,-2.9474637026031374,-3.304570710896169,True,True,False,False,False,False,-1.4,24.0,1.1935279090000002,-0.0013333210000000002,1,12,10.9,3.0,23.811375,0.183,2.84,20.32
HW_and_drought_varD_RH60,1.8290716612948257,12.918381435966856,17.332831382273366,19.005547361444265,19.811776284000164,20.27554156856137,0.14492060572255586,1.3834194256620067,2.6345398936810067,3.772224988721225,4.811863704808132,5.766138596000688,0.01,0.1,0.2,0.3,0.4,0.5,4.64,4.64,4.64,4.64,4.64,4.64,11.941409450060306,20.125639138544923,26.73805854612464,30.387573188965053,32.557188675742346,33.968242781204985,25.463959842204105,25.22641772725565,24.99694643337069,24.797486225929926,24.622915701109854,24.46916983353005,-1.937165993662933,-2.3459919239551983,-2.7548178542474626,-3.1636437845397283,-3.5353037211690594,-3.906963657798391,True,True,False,False,False,False,-1.9,24.0,1.1935279090000002,-0.0013333210000000002,2,12,14.9,4.64,18.137175,0.168,2.84,26.76
HW_and_drought_varD_RH60,1.8290716612948257,12.918381435966856,17.332831382273366,19.005547361444265,19.811776284000164,20.27554156856137,0.14492060572255586,1.3834194256620067,2.6345398936810067,3.772224988721225,4.811863704808132,5.766138596000688,0.01,0.1,0.2,0.3,0.4,0.5,4.64,4.64,4.64,4.64,4.64,4.64,11.941409450060306,20.125639138544923,26.73805854612464,30.387573188965053,32.557188675742346,33.968242781204985,25.463959842204105,25.22641772725565,24.99694643337069,24.797486225929926,24.622915701109854,24.46916983353005,-2.3351559434116766,-2.7570272643517995,-3.214054528703598,-3.6359258496437215,-4.057797170583846,-4.479668491523967,True,True,False,False,False,False,-2.3,24.0,1.1935279090000002,-0.0013333210000000002,3,12,9.72,4.45,23.9127,0.16899999999999998,2.84,26.07
HW_and_drought_varD_RH60,1.8290716612948257,12.918381435966856,17.332831382273366,19.005547361444265,19.811776284000164,20.27554156856137,0.14492060572255586,1.3834194256620067,2.6345398936810067,3.772224988721225,4.811863704808132,5.766138596000688,0.01,0.1,0.2,0.3,0.4,0.5,4.64,4.64,4.64,4.64,4.64,4.64,11.941409450060306,20.125639138544923,26.73805854612464,30.387573188965053,32.557188675742346,33.968242781204985,25.463959842204105,25.22641772725565,24.99694643337069,24.797486225929926,24.622915701109854,24.46916983353005,-2.6336484057232346,-3.0710776801252857,-3.5421553602505713,-3.9795846346526225,-4.450662314777907,-4.921739994903193,True,True,False,False,False,False,-2.6,24.0,1.1935279090000002,-0.0013333210000000002,4,12,14.8,3.94,23.406075,0.245,2.84,20.34
HW_and_drought_varD_RH60,1.8290716612948257,12.918381435966856,17.332831382273366,19.005547361444265,19.811776284000164,20.27554156856137,0.14492060572255586,1.3834194256620067,2.6345398936810067,3.772224988721225,4.811863704808132,5.766138596000688,0.01,0.1,0.2,0.3,0.4,0.5,4.64,4.64,4.64,4.64,4.64,4.64,11.941409450060306,20.125639138544923,26.73805854612464,30.387573188965053,32.557188675742346,33.968242781204985,25.463959842204105,25.22641772725565,24.99694643337069,24.797486225929926,24.622915701109854,24.46916983353005,-2.8652867611952124,-3.289650708964098,-3.779301417928196,-4.236308746294688,-4.725959455258786,-5.248253544820491,True,True,False,False,False,False,-2.8,24.0,1.1935279090000002,-0.0013333210000000002,5,12,13.3,3.21,21.27825,0.184,2.84,21.04
