Richmond_Eucalyptus_cladocalyx,Richmond_Eucalyptus_dunnii,Richmond_Eucalyptus_saligna,mean,model,variable
0.9300357428154702,0.9423693235216937,0.8539552081219075,0.9101556053166309,obs,Tleaf
0.924839189214482,0.9309333815139497,0.8335322082164962,0.8981840615405776,std,Tleaf
0.9267217846709753,0.9207406847364147,0.8282568373257281,0.8936892896374005,pmax,Tleaf
0.341892222932334,-0.2551097145224801,-0.36679423652475673,-0.042140318761885176,obs,Ci
0.13728580715133798,0.0608660251697386,-0.25390574403487154,-0.005053517550444919,std,Ci
0.335196320182368,0.2759706490275543,0.17830177300593608,0.26554133618941433,pmax,Ci
0.36468614157573787,0.270502554420303,-0.34150642468392434,0.14446174839417614,obs,Pleaf
,,,,std,Pleaf
0.5347105241653889,-0.6000427677120685,-0.0043663021541744396,0.08426533515546208,pmax,Pleaf
0.9257883317901593,0.970794553086975,0.9713737290695332,0.9564160820352592,obs,E
0.26455742943458105,0.3013839437791992,0.3062664300219313,0.29093725956765315,std,E
0.5013565300864204,-0.14074567821263395,0.04058101295258254,0.17601729096860286,pmax,E
0.46073264771409017,0.7188529701070159,0.8707455359954799,0.7045235174065765,obs,A
0.41135787279846936,0.4775765875361434,0.6816007457802646,0.5328720687910278,std,A
0.39485922076676494,0.3792147879961152,0.5966309221629209,0.46355092376283213,pmax,A
